client_id,age,segment,region,anciennete_mois
1,43,Premium,PACA,59
2,36,Standard,Nouvelle-Aquitaine,104
3,45,Churner,Occitanie,62
4,56,Churner,Île-de-France,58
5,35,Premium,Autres,32
6,35,Premium,Autres,119
7,56,Premium,Hauts-de-France,114
8,47,Low-Value,Île-de-France,33
9,32,Premium,Occitanie,114
10,44,Premium,Auvergne-Rhône-Alpes,31
11,32,Standard,Nouvelle-Aquitaine,38
12,32,Churner,Hauts-de-France,71
13,40,Low-Value,Île-de-France,33
14,18,Standard,Île-de-France,104
15,18,Low-Value,PACA,97
16,31,Low-Value,Île-de-France,28
17,25,Low-Value,Occitanie,32
18,41,Premium,Île-de-France,116
19,27,Standard,Autres,9
20,21,Low-Value,Grand Est,61
21,55,Standard,Autres,18
22,35,Premium,Île-de-France,62
23,38,Standard,Autres,16
24,20,Churner,Île-de-France,103
25,31,Low-Value,Autres,37
26,39,Low-Value,Auvergne-Rhône-Alpes,53
27,24,Low-Value,Autres,89
28,42,Premium,Île-de-France,33
29,30,Premium,Hauts-de-France,21
30,34,Standard,Autres,58
31,30,Standard,Hauts-de-France,11
32,60,Low-Value,Hauts-de-France,87
33,37,Premium,Hauts-de-France,64
34,25,Standard,Autres,85
35,47,Premium,PACA,39
36,23,Standard,Nouvelle-Aquitaine,11
37,40,Standard,Île-de-France,97
38,18,Standard,PACA,52
39,22,Standard,Île-de-France,114
40,40,Standard,Île-de-France,96
41,46,Standard,PACA,41
42,40,Standard,Auvergne-Rhône-Alpes,13
43,36,Standard,Île-de-France,40
44,34,Premium,PACA,95
45,20,Standard,Autres,109
46,29,Low-Value,Île-de-France,29
47,32,Premium,Auvergne-Rhône-Alpes,84
48,50,Churner,Île-de-France,96
49,42,Standard,Grand Est,60
50,18,Premium,Île-de-France,96
51,41,Standard,Auvergne-Rhône-Alpes,21
52,33,Premium,Autres,66
53,29,Standard,Occitanie,65
54,45,Standard,Grand Est,104
55,50,Low-Value,Île-de-France,10
56,49,Low-Value,Île-de-France,69
57,27,Standard,Auvergne-Rhône-Alpes,78
58,34,Standard,Hauts-de-France,61
59,41,Standard,Île-de-France,91
60,49,Standard,Île-de-France,10
61,32,Premium,Autres,31
62,35,Standard,Auvergne-Rhône-Alpes,103
63,24,Premium,Hauts-de-France,29
64,23,Standard,Hauts-de-France,77
65,47,Standard,Île-de-France,111
66,54,Standard,Occitanie,34
67,37,Premium,Île-de-France,8
68,50,Premium,Île-de-France,43
69,42,Premium,Auvergne-Rhône-Alpes,12
70,30,Premium,Grand Est,33
71,42,Standard,Autres,80
72,56,Standard,Nouvelle-Aquitaine,70
73,37,Standard,Autres,90
74,56,Standard,Autres,48
75,18,Standard,Nouvelle-Aquitaine,105
76,47,Premium,Île-de-France,75
77,39,Standard,Auvergne-Rhône-Alpes,25
78,34,Standard,Auvergne-Rhône-Alpes,12
79,39,Premium,Nouvelle-Aquitaine,22
80,18,Low-Value,Hauts-de-France,9
81,35,Low-Value,Hauts-de-France,39
82,42,Standard,Occitanie,11
83,55,Premium,Île-de-France,87
84,31,Premium,Auvergne-Rhône-Alpes,2
85,28,Premium,Auvergne-Rhône-Alpes,52
86,31,Premium,Hauts-de-France,34
87,48,Standard,Île-de-France,24
88,41,Standard,Île-de-France,50
89,31,Low-Value,Auvergne-Rhône-Alpes,56
90,44,Churner,Nouvelle-Aquitaine,94
91,39,Low-Value,PACA,1
92,49,Low-Value,Grand Est,30
93,29,Standard,PACA,103
94,34,Low-Value,PACA,20
95,33,Premium,Île-de-France,23
96,20,Churner,Autres,114
97,41,Low-Value,Île-de-France,117
98,41,Standard,Occitanie,39
99,38,Low-Value,Île-de-France,70
100,35,Premium,Occitanie,113
101,21,Standard,Île-de-France,15
102,32,Low-Value,Hauts-de-France,114
103,33,Standard,Île-de-France,87
104,28,Low-Value,Île-de-France,15
105,36,Standard,PACA,69
106,42,Standard,Auvergne-Rhône-Alpes,95
107,60,Low-Value,Autres,71
108,40,Churner,Île-de-France,55
109,41,Premium,Occitanie,31
110,37,Standard,Autres,37
111,18,Standard,Auvergne-Rhône-Alpes,27
112,37,Standard,Auvergne-Rhône-Alpes,46
113,38,Standard,Autres,44
114,67,Low-Value,Auvergne-Rhône-Alpes,26
115,35,Low-Value,Hauts-de-France,63
116,41,Standard,Autres,103
117,37,Premium,Île-de-France,50
118,23,Premium,Occitanie,112
119,51,Standard,PACA,36
120,47,Churner,Auvergne-Rhône-Alpes,101
121,47,Standard,Hauts-de-France,92
122,27,Standard,Grand Est,35
123,54,Low-Value,Auvergne-Rhône-Alpes,67
124,21,Premium,Auvergne-Rhône-Alpes,83
125,45,Premium,Île-de-France,18
126,64,Standard,Autres,30
127,26,Churner,Île-de-France,91
128,31,Low-Value,Nouvelle-Aquitaine,118
129,39,Low-Value,Occitanie,17
130,31,Standard,Île-de-France,12
131,19,Standard,Nouvelle-Aquitaine,33
132,38,Standard,Auvergne-Rhône-Alpes,32
133,25,Low-Value,Grand Est,106
134,43,Standard,Grand Est,113
135,26,Premium,Nouvelle-Aquitaine,59
136,56,Standard,Nouvelle-Aquitaine,43
137,28,Standard,Île-de-France,15
138,34,Low-Value,Auvergne-Rhône-Alpes,67
139,47,Premium,Auvergne-Rhône-Alpes,115
140,23,Low-Value,Nouvelle-Aquitaine,50
141,40,Low-Value,Nouvelle-Aquitaine,91
142,53,Low-Value,Île-de-France,58
143,18,Low-Value,Île-de-France,117
144,40,Standard,Nouvelle-Aquitaine,9
145,41,Churner,Auvergne-Rhône-Alpes,39
146,47,Standard,Île-de-France,9
147,23,Premium,Hauts-de-France,71
148,22,Standard,Île-de-France,58
149,44,Standard,Île-de-France,37
150,41,Churner,Occitanie,6
151,41,Standard,Île-de-France,108
152,42,Premium,Île-de-France,3
153,29,Churner,Île-de-France,105
154,40,Standard,Autres,95
155,41,Standard,Île-de-France,13
156,29,Standard,Grand Est,82
157,60,Low-Value,PACA,2
158,43,Standard,Grand Est,92
159,23,Premium,Occitanie,11
160,45,Standard,Île-de-France,109
161,26,Churner,PACA,69
162,47,Standard,Occitanie,81
163,51,Standard,Occitanie,11
164,28,Low-Value,Occitanie,37
165,49,Low-Value,Île-de-France,118
166,42,Standard,Auvergne-Rhône-Alpes,38
167,47,Low-Value,Autres,43
168,60,Premium,Autres,73
169,35,Standard,Auvergne-Rhône-Alpes,3
170,28,Standard,Autres,15
171,27,Standard,Île-de-France,57
172,28,Standard,Auvergne-Rhône-Alpes,43
173,37,Standard,Occitanie,22
174,42,Premium,Hauts-de-France,42
175,41,Low-Value,Grand Est,107
176,47,Low-Value,PACA,79
177,38,Standard,Hauts-de-France,67
178,55,Standard,Autres,8
179,34,Standard,Occitanie,53
180,70,Churner,Île-de-France,78
181,45,Standard,Occitanie,87
182,27,Low-Value,PACA,70
183,25,Standard,Autres,16
184,43,Premium,Auvergne-Rhône-Alpes,46
