client_id,touchpoint_id,canal,date,position,n_touches_total,is_first_touch,is_last_touch,converti
1,1,Email,2022-01-23,1,5,True,False,0
1,2,Instagram,2022-02-07,2,5,False,False,0
1,3,Instagram,2022-02-16,3,5,False,False,0
1,4,SEO,2022-02-27,4,5,False,False,0
1,5,Instagram,2022-03-04,5,5,False,True,0
2,6,Instagram,2022-01-03,1,3,True,False,0
2,7,Email,2022-02-16,2,3,False,False,0
2,8,Instagram,2022-03-28,3,3,False,True,0
3,9,YouTube,2022-01-16,1,5,True,False,0
3,10,Google Ads,2022-01-18,2,5,False,False,0
3,11,Google Ads,2022-01-26,3,5,False,False,0
3,12,Facebook,2022-02-06,4,5,False,False,0
3,13,Instagram,2022-03-21,5,5,False,True,0
4,14,Facebook,2022-01-13,1,3,True,False,0
4,15,Google Ads,2022-03-06,2,3,False,False,0
4,16,Email,2022-03-14,3,3,False,True,0
5,17,YouTube,2022-02-05,1,3,True,False,0
5,18,Email,2022-03-16,2,3,False,False,0
5,19,SEO,2022-03-25,3,3,False,True,0
6,20,SEO,2022-01-02,1,2,True,False,0
6,21,Google Ads,2022-01-08,2,2,False,True,1
7,22,Email,2022-02-25,1,2,True,False,0
7,23,Instagram,2022-03-10,2,2,False,True,1
8,24,Email,2022-01-11,1,5,True,False,0
8,25,Google Ads,2022-02-06,2,5,False,False,0
8,26,Google Ads,2022-03-04,3,5,False,False,0
8,27,Google Ads,2022-03-10,4,5,False,False,0
8,28,Google Ads,2022-03-29,5,5,False,True,0
9,29,YouTube,2022-01-30,1,3,True,False,0
9,30,SEO,2022-03-02,2,3,False,False,0
9,31,Google Ads,2022-03-28,3,3,False,True,1
10,32,Facebook,2022-01-02,1,5,True,False,0
10,33,Google Ads,2022-01-04,2,5,False,False,0
10,34,SEO,2022-03-02,3,5,False,False,0
10,35,Facebook,2022-03-04,4,5,False,False,0
10,36,SEO,2022-03-11,5,5,False,True,0
11,37,SEO,2022-01-19,1,2,True,False,0
11,38,YouTube,2022-03-30,2,2,False,True,0
12,39,YouTube,2022-01-17,1,3,True,False,0
12,40,Google Ads,2022-01-27,2,3,False,False,0
12,41,SEO,2022-03-06,3,3,False,True,0
13,42,Email,2022-01-30,1,4,True,False,0
13,43,Instagram,2022-02-26,2,4,False,False,0
13,44,Google Ads,2022-03-19,3,4,False,False,0
13,45,Instagram,2022-03-24,4,4,False,True,0
14,46,Email,2022-02-19,1,1,True,True,0
15,47,SEO,2022-01-09,1,4,True,False,0
15,48,SEO,2022-02-10,2,4,False,False,0
15,49,Instagram,2022-02-21,3,4,False,False,0
15,50,SEO,2022-03-20,4,4,False,True,0
16,51,Facebook,2022-01-21,1,5,True,False,0
16,52,Instagram,2022-02-12,2,5,False,False,0
16,53,YouTube,2022-02-18,3,5,False,False,0
